libfilename,sas_index,ensfilename
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-333.pales.pdb,332,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-1.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-368.pales.pdb,367,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-2.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-637.pales.pdb,636,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-3.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-684.pales.pdb,683,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-4.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-687.pales.pdb,686,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-5.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-998.pales.pdb,997,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-6.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-1197.pales.pdb,1196,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-7.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-2296.pales.pdb,2295,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-8.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-2616.pales.pdb,2615,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-9.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-2752.pales.pdb,2751,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-10.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-3052.pales.pdb,3051,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-11.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-4152.pales.pdb,4151,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-12.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-4349.pales.pdb,4348,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-13.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-4461.pales.pdb,4460,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-14.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-4794.pales.pdb,4793,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-15.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-4802.pales.pdb,4801,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-16.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-6963.pales.pdb,6962,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-17.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-8323.pales.pdb,8322,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-18.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-9003.pales.pdb,9002,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-19.pdb
/mnt/d4_new/rohit/PALES/ensemble_pdbs/wt-TAR/Unbiased_Lib/E0/ens-9616.pales.pdb,9615,/mnt/d4_new/rohit/ENS/wt-TAR/wtTAR_Correct_Ensemble/Unbiased_Ensemble/ens-20.pdb
